Job Title,Company Name,Location,jobPostRedirectUrl,skills List
Entry Level Python Programmer/Data scientist/Analyst (Remote),SynergisticIT,"Portland, OR (Remote)",https://www.linkedin.com//jobs/view/3767592268/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=P3ykerYXpctNKgpC0LkN%2Fg%3D%3D&trackingId=9nzYDDkQ0J%2FfWHl3qPgPng%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'DataScience', 'Java', 'Microservices', 'Programming', 'ProgrammingLanguages', 'RESTAPIs', 'SoftwareDevelopment', 'Cracking', 'Shortlisting', '']"
Data Scientist I,Lighthouse,United States (Remote),https://www.linkedin.com//jobs/view/3774917771/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=FeZi77SrfoVguJppXGAfiw%3D%3D&trackingId=XzJSvbCGPKixQzpR3naqmA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'DataScience', 'DataVisualization', 'PatternRecognition', 'PostgreSQL', 'DatabaseSystems', 'ExploratoryDataAnalysis', 'PredictiveModeling', 'StatisticalAnalysis', 'Statistics', '']"
Data Scientist,Hire Innovative,United States (Remote),https://www.linkedin.com//jobs/view/3741419633/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=FeZi77SrfoVguJppXGAfiw%3D%3D&trackingId=9S9%2BtxIDbGa8iqwxedJTIw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'C++', 'Cassandra', 'DataScience', 'Java', 'Python(ProgrammingLanguage)', 'SQL', 'ClusterAnalysis', 'DataModeling', 'Hadoop', 'PredictiveModeling', '']"
Data Scientist,Tata Consultancy Services,"Chicago, IL (On-site)",https://www.linkedin.com//jobs/view/3769259619/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=FeZi77SrfoVguJppXGAfiw%3D%3D&trackingId=4J0Hc12CIqdE99XV4go71g%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataAnalytics', 'DataScience', 'DataVisualization', 'DeepLearning', 'NaturalLanguageProcessing(NLP)', 'AnalyticalSkills', 'Communication', 'FlowDiagrams', 'PredictiveAnalytics', 'StatisticalDataAnalysis', '']"
Remote Data Scientist/Analyst (Entry/Junior Level),SynergisticIT,"Phoenix, AZ (Remote)",https://www.linkedin.com//jobs/view/3767593469/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=FeZi77SrfoVguJppXGAfiw%3D%3D&trackingId=CmAkkZ3dSOxHPVUgTQkmew%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'CoreJava', 'DataAnalytics', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'Analytics', 'Cracking', 'Shortlisting', '']"
Data Scientist/Analyst - Junior Level,SynergisticIT,"Atlanta, GA",https://www.linkedin.com//jobs/view/3767592554/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=FeZi77SrfoVguJppXGAfiw%3D%3D&trackingId=QudFngH1Pv8tXZlMAK75oQ%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'CoreJava', 'DataAnalytics', 'DataScience', 'DataVisualization', 'Java', 'JavaScript', 'PatternRecognition', 'Programming', 'ProgrammingLanguages', '']"
Remote Data Scientist/Analyst (Entry/Junior Level),SynergisticIT,"Louisville, KY (Remote)",https://www.linkedin.com//jobs/view/3767590846/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=FeZi77SrfoVguJppXGAfiw%3D%3D&trackingId=AlUYfix4NtAuHlgSdHxwMA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'CoreJava', 'DataAnalytics', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'Analytics', 'Cracking', 'Shortlisting', '']"
Data Scientist,BST Global,"Tampa, FL (Hybrid)",https://www.linkedin.com//jobs/view/3770676645/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=FeZi77SrfoVguJppXGAfiw%3D%3D&trackingId=Pk7jIT8XizL15%2BcEN00Paw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ArtificialIntelligence(AI)', 'DataScience', 'ANOVA', 'AnalyticalSkills', 'Analytics', 'BusinessRequirements', 'DataModeling', 'Keras', 'R(ProgrammingLanguage)', 'TensorFlow', '']"
"Data Scientist, Algorithms",Lyft,"San Francisco, CA",https://www.linkedin.com//jobs/view/3772601944/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kRHKbBsCHLIZ25uJJs4OKw%3D%3D&trackingId=TOdy4HwrRacfmtbPtgEuXw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'DataAnalytics', 'DataScience', 'NaturalLanguageProcessing(NLP)', 'Aggregation', 'DataAnalysis', 'ExploratoryDataAnalysis', 'Mathematics', 'OptimizationModels', 'Visualization', '']"
"Data Scientist, ML Platform",CVS Health,"New York, NY (On-site)",https://www.linkedin.com//jobs/view/3767562239/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kRHKbBsCHLIZ25uJJs4OKw%3D%3D&trackingId=MUcYuhe93lCYj7VqzOfllw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataScience', 'Git', 'NaturalLanguageProcessing(NLP)', 'PatternRecognition', 'Python(ProgrammingLanguage)', 'SQL', 'ExperimentalDesign', 'ProblemSolving', 'Scikit-Learn', 'UserRequirements', '']"
